Date,Price
2020-01-31,100.99342830602247
2020-02-29,200.7168997036801
2020-03-31,302.0122767798815
2020-04-30,405.05833649269755
2020-05-31,504.59002974325085
2020-06-30,604.1217558293525
2020-07-31,707.2801814603673
2020-08-31,808.8150509186731
2020-09-30,907.8761021468032
2020-10-31,1008.9612222339751
2020-11-30,1108.0343868483503
2020-12-31,1207.1029273412098
2021-01-31,1307.586851884342
2021-02-28,1403.7602913950263
2021-03-31,1500.3104557300003
2021-04-30,1599.1858806715184
2021-05-31,1697.1602184308495
2021-06-30,1797.78871309604
2021-07-31,1895.9726649449976
2021-08-31,1993.148057542327
2021-09-30,2096.07935508017
2021-10-31,2195.627802479197
2021-11-30,2295.7628588885727
2021-12-31,2392.9133625161458
2022-01-31,2491.8245970670955
2022-02-28,2592.046442246515
2022-03-31,2689.7444550916707
2022-04-30,2790.495851128362
2022-05-31,2889.2945737485247
2022-06-30,2988.7111862489382
2022-07-31,3087.5077730244793
2022-08-31,3191.2123293934974
2022-09-30,3291.1853349440216
2022-10-31,3389.06991308611
2022-11-30,3490.7150029103163
2022-12-31,3588.273315610374
2023-01-31,3688.6910428003835
2023-02-28,3784.771702552624
2023-03-31,3882.115330454827
2023-04-30,3982.5090529265653
2023-05-31,4083.9859860865563
2023-06-30,4184.3287226489365
2023-07-31,4284.09742608416
2023-08-31,4383.495218692982
2023-09-30,4480.538174712247
2023-10-31,4579.098486295458
2023-11-30,4678.177208753539
2023-12-31,4780.291453205977
2024-01-31,4880.978689785114
2024-02-29,4977.452609474388
2024-03-31,5078.100777413178
2024-04-30,5177.330612852345
2024-05-31,5275.976768851733
2024-06-30,5377.200121429415
2024-07-31,5479.262120474407
2024-08-31,5581.12468071264
2024-09-30,5679.446245666195
2024-10-31,5778.827820914493
2024-11-30,5879.4903477773
2024-12-31,5981.441438031545
